volAdjustRep.thisRepN,volAdjustRep.thisTrialN,volAdjustRep.thisN,volAdjustRep.thisIndex,volAdjustRep.ran,participant,date,expName,psychopyVersion,OS,frameRate,headphoneResponse.keys,headphoneResponse.corr,headphoneResponse.rt,headphoneTrial.thisRepN,headphoneTrial.thisTrialN,headphoneTrial.thisN,headphoneTrial.thisIndex,headphoneTrial.ran,headphone_sound1,headphone_sound2,headphone_sound3,corrAns,trainSlider.response,trainSlider.rt,beepTrainResponse.keys,beepTrainResponse.corr,trainingTrials.thisRepN,trainingTrials.thisTrialN,trainingTrials.thisN,trainingTrials.thisIndex,trainingTrials.ran,trainAudioFile,beepTrainResponse.rt,readyReal_resp.keys,readyReal_resp.rt,ratingSlider.response,ratingSlider.rt,beepResp.keys,beepResp.corr,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,expTrials.ran,audioFile,beepResp.rt,end_resp.keys,end_resp.rt
0,0,0,0,1,40683,2021-05-10_17h17.27.090,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,40683,2021-05-10_17h17.27.090,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,2,1,5.48086,0,0,0,3,1,stimuli/screen_origin.wav,stimuli/screen_quiet.wav,stimuli/screen_antiphase.wav,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,40683,2021-05-10_17h17.27.090,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,1,1,5.25492,0,1,1,5,1,stimuli/screen_quiet.wav,stimuli/screen_origin.wav,stimuli/screen_antiphase.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,40683,2021-05-10_17h17.27.090,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,3,1,0.615935,0,2,2,0,1,stimuli/screen_antiphase.wav,stimuli/screen_origin.wav,stimuli/screen_quiet.wav,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,40683,2021-05-10_17h17.27.090,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,3,1,0.42069,0,3,3,2,1,stimuli/screen_origin.wav,stimuli/screen_antiphase.wav,stimuli/screen_quiet.wav,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,40683,2021-05-10_17h17.27.090,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,1,1,0.566275,0,4,4,4,1,stimuli/screen_quiet.wav,stimuli/screen_antiphase.wav,stimuli/screen_origin.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,40683,2021-05-10_17h17.27.090,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,2,1,0.58321,0,5,5,1,1,stimuli/screen_antiphase.wav,stimuli/screen_quiet.wav,stimuli/screen_origin.wav,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,40683,2021-05-10_17h17.27.090,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,,,,,,,,,,,,,2,16.58813,,0,0,0,0,0,1,stimuli/stim_20210407_power2amp/equal_lnn_AM_training1.5Hz.m4a,,,,,,,,,,,,,,,,
,,,,,40683,2021-05-10_17h17.27.090,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,,,,,,,,,,,,,2,7.003935,,0,0,1,1,3,1,stimuli/stim_20210407_power2amp/equal_lnn_AM_training5.1Hz.m4a,,,,,,,,,,,,,,,,
,,,,,40683,2021-05-10_17h17.27.090,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,,,,,,,,,,,,,1,5.92258,1,1,0,2,2,1,1,stimuli/stim_20210407_power2amp/equal_lnn_AM_training2.7Hz.m4a,2.324255,,,,,,,,,,,,,,,
