headphoneResponse.keys,headphoneResponse.corr,headphoneResponse.rt,headphoneTrial.thisRepN,headphoneTrial.thisTrialN,headphoneTrial.thisN,headphoneTrial.thisIndex,headphoneTrial.ran,headphone_sound1,headphone_sound2,headphone_sound3,corrAns,participant,date,expName,psychopyVersion,OS,frameRate,trainSlider.response,trainSlider.rt,beepTrainResponse.keys,beepTrainResponse.corr,trainingTrials.thisRepN,trainingTrials.thisTrialN,trainingTrials.thisN,trainingTrials.thisIndex,trainingTrials.ran,trainAudioFile,beepTrainResponse.rt,readyReal_resp.keys,readyReal_resp.rt,ratingSlider.response,ratingSlider.rt,beepResp.keys,beepResp.corr,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,expTrials.ran,audioFile,beepResp.rt,end_resp.keys,end_resp.rt
3,1,0.784,0,0,0,0,1,stimuli/screen_antiphase.wav,stimuli/screen_origin.wav,stimuli/screen_quiet.wav,3,36418,2021-04-26_14h43.23.238,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1.068,0,1,1,5,1,stimuli/screen_quiet.wav,stimuli/screen_origin.wav,stimuli/screen_antiphase.wav,1,36418,2021-04-26_14h43.23.238,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.954,0,2,2,4,1,stimuli/screen_quiet.wav,stimuli/screen_antiphase.wav,stimuli/screen_origin.wav,1,36418,2021-04-26_14h43.23.238,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1.089,0,3,3,1,1,stimuli/screen_antiphase.wav,stimuli/screen_quiet.wav,stimuli/screen_origin.wav,2,36418,2021-04-26_14h43.23.238,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,0.499,0,4,4,2,1,stimuli/screen_origin.wav,stimuli/screen_antiphase.wav,stimuli/screen_quiet.wav,3,36418,2021-04-26_14h43.23.238,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0.534,0,5,5,3,1,stimuli/screen_origin.wav,stimuli/screen_quiet.wav,stimuli/screen_antiphase.wav,2,36418,2021-04-26_14h43.23.238,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,36418,2021-04-26_14h43.23.238,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,Win32,60,2,10.048,,0,0,0,0,2,1,stimuli/stim_20210407_power2amp/equal_lnn_AM_training3.9Hz.m4a,,,,,,,,,,,,,,,,
,,,,,,,,,,,,36418,2021-04-26_14h43.23.238,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,Win32,60,1,7.21,,0,0,1,1,0,1,stimuli/stim_20210407_power2amp/equal_lnn_AM_training1.5Hz.m4a,,,,,,,,,,,,,,,,
,,,,,,,,,,,,36418,2021-04-26_14h43.23.238,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,Win32,60,2,6.731,1,1,0,2,2,1,1,stimuli/stim_20210407_power2amp/equal_lnn_AM_training2.7Hz.m4a,1.144,,,,,,,,,,,,,,,
,,,,,,,,,,,,36418,2021-04-26_14h43.23.238,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,Win32,60,1,6.529,,0,0,3,3,3,1,stimuli/stim_20210407_power2amp/equal_lnn_AM_training5.1Hz.m4a,,,,,,,,,,,,,,,,
