volAdjustRep.thisRepN,volAdjustRep.thisTrialN,volAdjustRep.thisN,volAdjustRep.thisIndex,volAdjustRep.ran,participant,date,expName,psychopyVersion,OS,frameRate,headphoneResponse.keys,headphoneResponse.corr,headphoneResponse.rt,headphoneTrial.thisRepN,headphoneTrial.thisTrialN,headphoneTrial.thisN,headphoneTrial.thisIndex,headphoneTrial.ran,headphone_sound1,headphone_sound2,headphone_sound3,corrAns,checkInstruKey.keys,checkInstruKey.rt,trainSlider.response,trainSlider.rt,beepTrainResponse.keys,beepTrainResponse.corr,trainingTrials.thisRepN,trainingTrials.thisTrialN,trainingTrials.thisN,trainingTrials.thisIndex,trainingTrials.ran,trainAudioFile,beepTrainResponse.rt,readyReal_resp.keys,readyReal_resp.rt,checkInstru2_key.keys,checkInstru2_key.rt,ratingSlider.response,ratingSlider.rt,beepResp.keys,beepResp.corr,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,expTrials.ran,audioFile,beepResp.rt,switchBlock_space.keys,switchBlock_space.rt,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,blockName,blockImage,end_resp.keys,end_resp.rt
0,0,0,0,1,41811,2021-10-01_04h16.19.071,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41811,2021-10-01_04h16.19.071,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,Linux x86_64,60,3,1,0.9984,0,0,0,0,1,stimuli/screen_antiphase.wav,stimuli/screen_origin.wav,stimuli/screen_quiet.wav,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41811,2021-10-01_04h16.19.071,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,Linux x86_64,60,2,1,0.4662,0,1,1,1,1,stimuli/screen_antiphase.wav,stimuli/screen_quiet.wav,stimuli/screen_origin.wav,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41811,2021-10-01_04h16.19.071,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,Linux x86_64,60,1,1,0.4548,0,2,2,5,1,stimuli/screen_quiet.wav,stimuli/screen_origin.wav,stimuli/screen_antiphase.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41811,2021-10-01_04h16.19.071,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,Linux x86_64,60,1,1,0.4699,0,3,3,4,1,stimuli/screen_quiet.wav,stimuli/screen_antiphase.wav,stimuli/screen_origin.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41811,2021-10-01_04h16.19.071,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,Linux x86_64,60,3,1,3.4055,0,4,4,2,1,stimuli/screen_origin.wav,stimuli/screen_antiphase.wav,stimuli/screen_quiet.wav,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41811,2021-10-01_04h16.19.071,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,Linux x86_64,60,2,1,0.5896,0,5,5,3,1,stimuli/screen_origin.wav,stimuli/screen_quiet.wav,stimuli/screen_antiphase.wav,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41811,2021-10-01_04h16.19.071,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,space,2.1028,2,7.0213,,0,0,0,0,2,1,stimuli/stim_20210919_power2amp/equal_lnn_AM_training2Hz_s40.m4a,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41811,2021-10-01_04h16.19.071,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,,,1,6.1998,,0,0,1,1,0,1,stimuli/stim_20210919_power2amp/equal_lnn_AM_training2Hz_s20.m4a,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41811,2021-10-01_04h16.19.071,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,,,2,8.5283,3,1,0,2,2,3,1,stimuli/stim_20210919_power2amp/equal_lnn_AM_training2Hz_s50.m4a,1.3338,,,,,,,,,,,,,,,,,,,,,,,,,,
